source_id,archive,path,size_bytes,crc32,sha256,extension,processed,notes
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G5025-P600022-pog.trs,11379,f87bf16b,7a011ced3246db25fa9801116138beb62cfda2a50db1c334e815e4612c04c3af,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-J-Gvecg-P580003-std.trs,10496,5fc9b516,5e85cd82ee18a118ed2fdc674c9b372e67273c297a00d1202d3ff6c81c0f6414,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G5082-P600080-std.trs,2792,adba6ffd,3c2fb2f419a8a85f3fa164b5e10f32e554cf206406ba0d2a4b7f612841823450,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G6007-P600702-std.trs,6488,3c3e6d1e,62c4e67deb2a24fe3c3f9eb7628685381b638acecc58f0a4f4bc70a8f8edfbba,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-J-Gvecg-P500014-pog.trs,8532,09124224,0ab71a5cfca4f3994a80d3b78d221df4410d1fb5f5db56e4f499692390aa39fb,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G5036-P600034-pog.trs,9516,427b0927,4d4b48e1312ddecf90ea1dee9a3f9b4b1c77a848a8c717d08013caf839fbdd62,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G6103-P610302-std.trs,7877,b4ba0b7b,561dd530a37a7d14013af76fbb1990c9be55eaae94f0f9845b2e24cb0af1640f,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G5097-P600096-pog.trs,7332,47b4d461,953906613434066d695f5ecf268dec22b0076191fb100216a37f78bd1117ff4c,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G6100-P610002-pog.trs,7102,339a966a,21ffa25d13b928cb3f6602d7cda3fa7f0265541980e3003902122d54539ee468,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G6012-P601201-std.trs,9952,bbef9bd9,8a76a89f2e31e8e05ba288911f825b474a6320bc1d9d0c40e10b40399c9c031a,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G6116-P611601-pog.trs,10407,324907df,92e4a72ead3029057e094c4bc6f1b839e50e4bcb3c58df483f87626986b1a574,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G5014-P600007-std.trs,10604,a4835624,6aacd03b70f831c598671327468dc53f7cf8c232f48d97f1ad7f1ceeebea7bfc,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G6047-P604702-std.trs,12159,d29237bf,b62f53938c4f0c150932029e381c8693ceca47d5a9f126c7dbb2feec27f8a6e5,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G5097-P600096-std.trs,7534,b32ff3d9,dd43c1dcffe956be99a9165c9a73c81d880f1088c93faeb8b587d27a5bd45f00,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-J-Gvecg-P580047-std.trs,9063,c37d42bd,27e6e8be1ea37639e3c2cd4f246b6b91e8b2811338f23ccdbb133b2f247aabf2,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G5054-P600052-pog.trs,16054,3bccac14,f232e778ffa018d347371528df3e22c6d179635d532800c7d550849838d597f7,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-J-Gvecg-P580051-pog.trs,13730,87a71c28,2ce644cfbc995c584063718f919c7b91a6071f7ba9608a42da78a489e3d6bc16,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G5083-P600080-pog.trs,6983,7940763d,dbabb0fca88b3472ef95440b7396b8053ff0c3f3b7976303d9badc33b6451c0a,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-P-G7002-P700444-std.trs,10960,113731d2,f6d7cd78052c099622ef0b65a3c138c9ff8c5f29bcbf26fa1cb1076ab0d12f29,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G6116-P611601-std.trs,10618,32b78454,b364411cc9c696b7169b8f9c8a0ba08bc70c09c367c615fc85f6bde1f2b26852,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-P-G7001-P700192-std.trs,10264,0816ecf6,fa21dbe95782b5fce60981fc933303e8ad45bb9d918910f789f774bd9da6ca2b,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-J-Gvecg-P500037-pog.trs,8880,f905dbf5,9eb26755fae0ceb16e759b4b7d7bc52e32a225c355706200ec35f92f56861af4,.trs,YES,parsed TRS turns source-faithfully
rog_slovenian_1_0_1_1_manual_prosody,ROG.zip,ROG/ROG-Art/TRS/Rog-Art-N-G6043-P604301-std.trs,9049,801481c9,725e60de849d193cc4347f094da0c2a616c8310572c17f8973589ab1ab44db74,.trs,YES,parsed TRS turns source-faithfully
