TEXT-ID,SOURCE-ID,RECORDING-ID,SUBCORPUS,PRS-ID,SEX,AGE,1LANG,DIALECT,EDUCATION,PERM-RESD,CHILD-RESD,SENTENCES,WORDS
Rog-Go1-Gos261,Gos261,NZosnnzupr-sv1008201003.wav,Gos,Tf-znan-07540,ženski,18 do 34 let,drugi romanski jeziki,-,fakulteta ali več,"tujina, osrednjeslovenska, podravska, pomurska",-,3,57
Rog-Go2-Gos262,Gos262,NZospodopr-np0904280935.wav,Gos,Af-prij-00507,ženski,18 do 34 let,slovenščina,-,srednja šola,"osrednjeslovenska, osrednjeslovenska",-,29,384
Rog-Go2-Gos262,Gos262,NZospodopr-np0904280935.wav,Gos,Bf-prij-00508,ženski,18 do 34 let,slovenščina,-,srednja šola,"osrednjeslovenska, osrednjeslovenska",-,27,280
Rog-Go1-Gos263,Gos263,NZossgdodr-am1003212116.wav,Gos,Af-star-01083,ženski,nad 60 let,slovenščina,-,OŠ ali manj,koroška,-,7,50
Rog-Go1-Gos263,Gos263,NZossgdodr-am1003212116.wav,Gos,Mm-otro-01079,moški,30 do 59 let,slovenščina,-,srednja šola,"koroška, savinjska, podravska",-,4,43
Rog-Go2-Gos264,Gos264,NZossgdopr-am1003151543.wav,Gos,Tm-prij-01081,moški,18 do 34 let,slovenščina,-,višja ali visoka šola,"koroška, savinjska",-,37,502
Rog-Go2-Gos264,Gos264,NZossgdopr-am1003151543.wav,Gos,Bf-prij-01082,ženski,18 do 34 let,slovenščina,-,srednja šola,"koroška, savinjska, osrednjeslovenska",-,29,202
Rog-Go1-Gos265,Gos265,NZossgdopr-am1003161108.wav,Gos,Mm-prij-01079,moški,30 do 59 let,slovenščina,-,srednja šola,"koroška, savinjska, podravska",-,3,39
Rog-Go1-Gos265,Gos265,NZossgdopr-am1003161108.wav,Gos,Im-prij-01080,moški,nad 60 let,slovenščina,-,OŠ ali manj,koroška,-,3,17
Rog-Go1-Gos266,Gos266,NZossgdopr-am1003161112.wav,Gos,Dm-prij-01099,moški,18 do 34 let,slovenščina,-,fakulteta ali več,"podravska, koroška, tujina",-,5,41
Rog-Go1-Gos266,Gos266,NZossgdopr-am1003161112.wav,Gos,Mf-prij-01101,ženski,nad 60 let,slovenščina,-,višja ali visoka šola,"koroška, podravska",-,1,5
Rog-Go1-Gos266,Gos266,NZossgdopr-am1003161112.wav,Gos,Af-prij-01100,ženski,18 do 34 let,slovenščina,-,fakulteta ali več,"koroška, savinjska, podravska",-,5,47
Rog-Go1-Gos267,Gos267,NZossgdopr-am1003202009.wav,Gos,Mf-prij-01077,ženski,30 do 59 let,slovenščina,-,višja ali visoka šola,"koroška, podravska",-,5,55
Rog-Go1-Gos267,Gos267,NZossgdopr-am1003202009.wav,Gos,Dm-prij-01078,moški,30 do 59 let,slovenščina,-,srednja šola,koroška,-,2,7
Rog-Go2-Gos268,Gos268,NZteceprij-im0906301216.wav,Gos,Vf-prij-06002,ženski,18 do 34 let,slovenščina,-,srednja šola,savinjska,-,46,303
Rog-Go2-Gos268,Gos268,NZteceprij-im0906301216.wav,Gos,Tf-prij-06001,ženski,18 do 34 let,slovenščina,-,srednja šola,"savinjska, podravska",-,62,382
Rog-Go1-Gos269,Gos269,NZteceprij-im0906301218.wav,Gos,Am-prij-02168,moški,18 do 34 let,slovenščina,-,OŠ ali manj,savinjska,-,2,14
Rog-Go1-Gos269,Gos269,NZteceprij-im0906301218.wav,Gos,Bm-prij-02169,moški,18 do 34 let,slovenščina,-,srednja šola,savinjska,-,2,14
Rog-Go1-Gos270,Gos270,NZteceprij-im0906301220.wav,Gos,Bm-prij-02169,moški,18 do 34 let,slovenščina,-,srednja šola,savinjska,-,4,53
Rog-Go1-Gos270,Gos270,NZteceprij-im0906301220.wav,Gos,Am-prij-02168,moški,18 do 34 let,slovenščina,-,OŠ ali manj,savinjska,-,3,26
Rog-Go1-Gos271,Gos271,NZteceprij-ms0907301634.wav,Gos,Af-prij-02102,ženski,18 do 34 let,slovenščina,-,srednja šola,savinjska,-,4,29
Rog-Go1-Gos271,Gos271,NZteceprij-ms0907301634.wav,Gos,Bf-prij-02103,ženski,18 do 34 let,slovenščina,-,srednja šola,savinjska,-,2,9
Rog-Go1-Gos272,Gos272,NZteceprij-ms0907301853.wav,Gos,Bf-prij-02102,ženski,18 do 34 let,slovenščina,-,srednja šola,savinjska,-,2,25
Rog-Go1-Gos273,Gos273,NZteceprij-ms0907301938.wav,Gos,Af-prij-02101,ženski,18 do 34 let,slovenščina,-,srednja šola,podravska,-,4,38
Rog-Go1-Gos273,Gos273,NZteceprij-ms0907301938.wav,Gos,Bf-prij-02102,ženski,18 do 34 let,slovenščina,-,srednja šola,savinjska,-,9,192
Rog-Go1-Gos274,Gos274,NZtecesoro-im0906301214.wav,Gos,Af-soro-02170,ženski,18 do 34 let,slovenščina,-,srednja šola,"savinjska, podravska",-,3,8
Rog-Go1-Gos274,Gos274,NZtecesoro-im0906301214.wav,Gos,Bm-soro-02171,moški,18 do 34 let,slovenščina,-,srednja šola,savinjska,-,3,30
Rog-Go1-Gos275,Gos275,NZtegoprij-kk0905221951.wav,Gos,Af-prij-05515,ženski,18 do 34 let,slovenščina,-,srednja šola,"goriška, osrednjeslovenska",-,1,22
Rog-Go1-Gos275,Gos275,NZtegoprij-kk0905221951.wav,Gos,Bf-prij-05516,ženski,18 do 34 let,slovenščina,-,srednja šola,"goriška, osrednjeslovenska",-,4,44
Rog-Go1-Gos276,Gos276,NZtegoprij-kk1003061818.wav,Gos,Bm-prij-05577,moški,18 do 34 let,slovenščina,-,višja ali visoka šola,"goriška, osrednjeslovenska",-,1,17
Rog-Go1-Gos276,Gos276,NZtegoprij-kk1003061818.wav,Gos,Am-prij-05576,moški,18 do 34 let,slovenščina,-,srednja šola,"goriška, osrednjeslovenska",-,2,74
Rog-Go1-Gos277,Gos277,NZteljprij-at1001242200.wav,Gos,Pm-prij-06582,moški,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,9,52
Rog-Go1-Gos277,Gos277,NZteljprij-at1001242200.wav,Gos,Tm-prij-06583,moški,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,9,124
Rog-Go1-Gos278,Gos278,NZteljprij-bo1001181400.wav,Gos,Bf-prij-09525,ženski,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,5,79
Rog-Go1-Gos278,Gos278,NZteljprij-bo1001181400.wav,Gos,Df-prij-09526,ženski,18 do 34 let,slovenščina,-,srednja šola,osrednjeslovenska,-,7,96
