recording_id,TEXT-ID,SOURCE-ID,RECORDING-ID,SUBCORPUS,TITLE,DATE,SOURCE,URL,TEXT-REGION,DOMAIN,TYPE,CHANNEL,SENTENCES,WORDS,SPK-IDsUTTS
rog_slovenian_1_0_1_1_manual_prosody::JIosjztrdr-ak1001101050.wav,Rog-Go1-Gos015,Gos015,JIosjztrdr-ak1001101050.wav,Gos,"Učna ura slovenščine, 7. razred. Književnost, ljudsko slovstvo: dela so analizirali, iskali v njih razna slogovna sredstva, arhaične izraze ...",2010-01,lastni posnetek,-,Gorje,"3. triletje, družboslovje",informativno-izobraževalni,osebni stik,15,132,Af-prof-02245 Ff-ucen-02250 Om-ucen-02259 Sm-ucen-02261
rog_slovenian_1_0_1_1_manual_prosody::JIosjztrna-pk1005181055.wav,Rog-Go1-Gos016,Gos016,JIosjztrna-pk1005181055.wav,Gos,Osnovnošolska učna ura naravoslovja (o rastlinah) v šestem razredu.,2010-08,lastni posnetek,-,Koper,"3. triletje, naravoslovje",informativno-izobraževalni,osebni stik,16,122,Af-prof-05598 Cf-ucen-05600 Em-ucen-05602 Hm-ucen-05605 Pn-vsiucenci-10000
rog_slovenian_1_0_1_1_manual_prosody::JIossltrdr-jm0912151304.wav,Rog-Go1-Gos017,Gos017,JIossltrdr-jm0912151304.wav,Gos,"Šolska ura o umetnostnem besedilu, prijateljstvu, pridevnikih v umetnostnem besedilu.",2010-01,lastni posnetek,-,Ljubljana,"3. triletje, družboslovje",informativno-izobraževalni,osebni stik,13,198,Af-prof-07104 If-ucen-07112 Om-ucen-07118 Rm-ucen-07121 Tm-ucen-07123
rog_slovenian_1_0_1_1_manual_prosody::JIossvdrdr-jt0910141912.wav,Rog-Go1-Gos018,Gos018,JIossvdrdr-jt0910141912.wav,Gos,"Osnovnošolska ura predmeta družba, ponovitev naravnih značilnosti domače pokrajine, spoznavanje vrst naselij, bivališč, izpolnjevanje delovnih listov na temo značilnosti domačih naselij.",2009-10,lastni posnetek,-,Radenci,"2. triletje, družboslovje",informativno-izobraževalni,osebni stik,14,122,Em-ucen-01089 Lm-ucen-01096 Mf-prof-01097 Nm-ucen-01098
rog_slovenian_1_0_1_1_manual_prosody::JIossvdrdr-kk0911181120.wav,Rog-Go1-Gos019,Gos019,JIossvdrdr-kk0911181120.wav,Gos,"Ura književnosti v šestem razredu, učenci berejo pesem, se o njej pogovarjajo in rešujejo delovni list.",2009-11,lastni posnetek,-,Maribor,"2. triletje, družboslovje",informativno-izobraževalni,osebni stik,11,128,Fm-ucen-07023 Gm-ucen-07024 Sf-prof-07036
rog_slovenian_1_0_1_1_manual_prosody::JIossvtrdr-is0911272343.wav,Rog-Go1-Gos020,Gos020,JIossvtrdr-is0911272343.wav,Gos,"Učna ura zgodovine, OŠ, 9. razred, tema je holokavst. Med poukom je predvajan tudi enominutni posnetek s TV.",2009-11,lastni posnetek,-,Radlje ob Dravi,"3. triletje, družboslovje",informativno-izobraževalni,osebni stik,18,197,Jm-ucen-01064 Mf-prof-01061 Pn-vsiucenci-10000 Tf-ucen-01069
rog_slovenian_1_0_1_1_manual_prosody::JIossvtrna-is0911272310.wav,Rog-Go1-Gos021,Gos021,JIossvtrna-is0911272310.wav,Gos,"Učna ura kemije, OŠ, 9. razred, poučevanje učencev o bazah in kislinah.",2009-11,lastni posnetek,-,Radlje ob Dravi,"3. triletje, naravoslovje",informativno-izobraževalni,osebni stik,11,113,Af-ucen-01051 Bm-ucen-01052 Pn-vsiucenci-10000 Sf-prof-01049
rog_slovenian_1_0_1_1_manual_prosody::JIossvtrna-kk0911181210.wav,Rog-Go1-Gos022,Gos022,JIossvtrna-kk0911181210.wav,Gos,"Učna ura matematike v sedmem razredu OŠ; preslikava čez premico, preslikava čez točko.",2010-09,lastni posnetek,-,Maribor,"3. triletje, naravoslovje",informativno-izobraževalni,osebni stik,11,126,Fm-ucen-01627 Pf-ucen-01626 Um-prof-01624
rog_slovenian_1_0_1_1_manual_prosody::JIrajzakjp-rd0906111339.wav,Rog-Go1-Gos023,Gos023,JIrajzakjp-rd0906111339.wav,Gos,"Radijski pogovor o izboru za pesem Evrovizije, o pravičnosti izbora in primernosti zmagovalca.",2009-07,-,-,Ljubljana,"Aktual, Aktualno",informativno-izobraževalni,radio,3,54,Am-mode-05517 Lm-posl-05528
rog_slovenian_1_0_1_1_manual_prosody::JIrajzakjp-rd0906111346.wav,Rog-Go1-Gos024,Gos024,JIrajzakjp-rd0906111346.wav,Gos,Radijski pogovor o upravičenosti obvezne uporabe varnostnega pasu - mnenja za in proti.,2009-07,-,-,Ljubljana,"Aktual, Aktualno",informativno-izobraževalni,radio,4,67,Af-novi-05533 Em-mode-05517
