source_id,source_utterance_id,segment_index,original_label,source_end_s,derived_start_s,derived_duration_s,absolute_start_s,absolute_end_s,normalized_ipa,annotation_provenance,upstream_blob_sha
pavoque,pavoque::spike0017,22,@,1.79,1.715,0.075,57.995,58.07,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,23,f,1.88,1.79,0.09,58.07,58.16,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,24,R,1.97,1.88,0.09,58.16,58.25,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,25,a:,2.125,1.97,0.155,58.25,58.405,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,26,g,2.181559,2.125,0.056559,58.405,58.461559,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,27,@,2.226227,2.181559,0.044668,58.461559,58.506227,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,28,g,2.291329,2.226227,0.065102,58.506227,58.571329,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,29,@,2.338613,2.291329,0.047284,58.571329,58.618613,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,30,S,2.472494,2.338613,0.133881,58.618613,58.752494,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,31,t,2.542843,2.472494,0.070349,58.752494,58.822843,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,32,E,2.673929,2.542843,0.131086,58.822843,58.953929,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,33,l,2.755,2.673929,0.081071,58.953929,59.035,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,34,t,2.94169,2.755,0.18669,59.035,59.22169,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
pavoque,pavoque::spike0017,35,_,4.075,2.94169,1.13331,59.22169,60.355,,manually_corrected,bff79d978f740f6c2b09bc595ade03b6bdf33423
